strategy,horizon_years,fraction,maxdd_p50,maxdd_p90,maxdd_p99,p_maxdd_gt50,p_maxdd_gt80,p_ruin,terminal_p50
overlay,1,0.25,0.0943,0.1925,0.293,0.0,0.0,0.0,113.7699
overlay,1,0.5,0.1856,0.3605,0.4898,0.0079,0.0,0.0015,125.7404
overlay,1,1.0,0.3503,0.6296,0.785,0.2273,0.0076,0.0448,147.6604
overlay,3,0.25,0.1621,0.2644,0.3772,0.0004,0.0,0.0,148.1201
overlay,3,0.5,0.3064,0.4732,0.6369,0.0711,0.0003,0.004,209.0022
overlay,3,1.0,0.5474,0.7625,0.8971,0.5926,0.0623,0.0417,343.0715
buy_hold,1,0.25,0.1556,0.2547,0.3595,0.0001,0.0,0.0,115.2767
buy_hold,1,0.5,0.296,0.4624,0.608,0.0608,0.0,0.0106,127.8322
buy_hold,1,1.0,0.5319,0.7422,0.8651,0.5732,0.0445,0.1024,137.3074
buy_hold,3,0.25,0.2301,0.3538,0.4847,0.0071,0.0,0.0006,154.5957
buy_hold,3,0.5,0.4258,0.6062,0.7536,0.2819,0.0029,0.0215,209.4926
buy_hold,3,1.0,0.7137,0.8835,0.959,0.9381,0.273,0.1204,267.9302
