asset,oos_start,oos_end,n_windows,overlay_sharpe,hold_sharpe,band_sharpe,overlay_maxDD,hold_maxDD,band_maxDD,overlay_CAGR,hold_CAGR,band_CAGR,overlay_fees_pct,beats_hold_sharpe,beats_hold_maxDD
BTCUSDT,2019-08-18,2026-08-01,14,1.048,0.739,0.741,-58.0,-76.6,-49.2,42.07,29.85,19.36,78.04,True,True
ETHUSDT,2019-08-18,2026-08-01,14,1.007,0.819,0.825,-64.4,-79.3,-51.7,50.0,39.13,28.19,54.44,True,True
BNBUSDT,2019-11-07,2026-08-01,14,1.213,1.001,1.0,-40.7,-70.9,-43.0,80.19,63.85,39.57,338.84,True,True
XRPUSDT,2020-05-04,2026-08-01,13,0.476,0.731,0.727,-83.4,-83.2,-51.4,7.72,28.71,28.11,14.33,False,False
LTCUSDT,2019-12-14,2026-08-01,14,0.244,0.441,0.421,-81.2,-89.4,-60.0,-5.28,-0.06,9.46,14.47,False,True
ADAUSDT,2020-04-17,2026-08-01,13,0.785,0.735,0.74,-79.4,-95.2,-67.2,36.44,29.41,28.11,123.15,True,True
DOGEUSDT,2021-07-05,2026-08-01,11,0.316,0.176,0.192,-70.4,-85.2,-56.3,-0.05,-22.16,-0.9,8.13,True,True
SOLUSDT,2022-08-12,2026-08-01,8,0.762,0.598,0.621,-59.0,-79.3,-50.6,33.31,14.0,18.59,27.4,True,True
LINKUSDT,2021-01-16,2026-08-01,12,-0.046,0.314,0.307,-91.4,-90.2,-57.5,-20.63,-15.67,3.46,5.17,False,False
TRXUSDT,2020-06-11,2026-08-01,13,0.687,0.955,0.959,-75.3,-69.5,-40.0,30.7,61.04,38.62,33.87,False,False
