train_blocks,is_best,is_sharpe,oos_sharpe,oos_rank,rel_rank,logit
0-1-2-3,vol_target,1.4269,0.2563,4,0.5714,0.2877
0-1-2-4,vol_target,0.8843,0.9223,3,0.4286,-0.2877
0-1-2-5,vol_target,1.2539,0.5338,6,0.8571,1.7918
0-1-2-6,sma_50,0.9885,1.0452,2,0.2857,-0.9163
0-1-2-7,vol_target,1.1673,0.6471,6,0.8571,1.7918
0-1-3-4,sma_50,0.9119,1.1771,1,0.1429,-1.7918
0-1-3-5,vol_target,1.2719,0.516,3,0.4286,-0.2877
0-1-3-6,sma_50,1.014,1.0365,1,0.1429,-1.7918
0-1-3-7,vol_target,1.186,0.6299,5,0.7143,0.9163
0-1-4-5,vol_target,0.6695,1.1058,2,0.2857,-0.9163
0-1-4-6,sma_50,0.5447,1.4516,1,0.1429,-1.7918
0-1-4-7,sma_50,0.5859,1.4073,1,0.1429,-1.7918
0-1-5-6,sma_50,0.7536,1.2537,1,0.1429,-1.7918
0-1-5-7,vol_target,0.9798,0.8501,5,0.7143,0.9163
0-1-6-7,sma_50,0.706,1.2934,1,0.1429,-1.7918
0-2-3-4,sma_50,1.2808,0.6678,3,0.4286,-0.2877
0-2-3-5,sma_50,1.4568,0.4185,1,0.1429,-1.7918
0-2-3-6,sma_50,1.3823,0.5251,4,0.5714,0.2877
0-2-3-7,sma_50,1.4211,0.4763,2,0.2857,-0.9163
0-2-4-5,sma_50,1.07,0.958,2,0.2857,-0.9163
0-2-4-6,sma_50,0.984,1.0444,4,0.5714,0.2877
0-2-4-7,sma_50,1.027,1.0014,2,0.2857,-0.9163
0-2-5-6,sma_50,1.1884,0.8426,3,0.4286,-0.2877
0-2-5-7,sma_50,1.2337,0.8017,2,0.2857,-0.9163
0-2-6-7,sma_50,1.146,0.8866,4,0.5714,0.2877
0-3-4-5,sma_50,1.0873,0.9354,2,0.2857,-0.9163
0-3-4-6,sma_50,1.0076,1.03,2,0.2857,-0.9163
0-3-4-7,sma_50,1.0471,0.9823,2,0.2857,-0.9163
0-3-5-6,sma_50,1.1962,0.8084,2,0.2857,-0.9163
0-3-5-7,sma_50,1.2374,0.7634,1,0.1429,-1.7918
0-3-6-7,sma_50,1.1564,0.8561,2,0.2857,-0.9163
0-4-5-6,sma_50,0.7403,1.2485,2,0.2857,-0.9163
0-4-5-7,sma_50,0.7869,1.2084,2,0.2857,-0.9163
0-4-6-7,sma_50,0.6901,1.2869,2,0.2857,-0.9163
0-5-6-7,sma_50,0.9184,1.1021,2,0.2857,-0.9163
1-2-3-4,vol_target,1.1734,0.5622,3,0.4286,-0.2877
1-2-3-5,vol_target,1.4981,0.0876,3,0.4286,-0.2877
1-2-3-6,vol_target,1.2472,0.4834,3,0.4286,-0.2877
1-2-3-7,vol_target,1.4245,0.2424,5,0.7143,0.9163
1-2-4-5,vol_target,0.9835,0.8163,3,0.4286,-0.2877
1-2-4-6,sma_50,0.7634,1.2374,1,0.1429,-1.7918
1-2-4-7,vol_target,0.8874,0.9199,2,0.2857,-0.9163
1-2-5-6,vol_target,1.06,0.7386,3,0.4286,-0.2877
1-2-5-7,vol_target,1.2521,0.5255,6,0.8571,1.7918
1-2-6-7,vol_target,0.9653,0.8433,3,0.4286,-0.2877
1-3-4-5,sma_200,1.0789,0.3106,6,0.8571,1.7918
1-3-4-6,sma_200,0.8879,0.5478,6,0.8571,1.7918
1-3-4-7,sma_200,0.965,0.4607,6,0.8571,1.7918
1-3-5-6,vol_target,1.0777,0.7205,2,0.2857,-0.9163
1-3-5-7,vol_target,1.2698,0.5074,4,0.5714,0.2877
1-3-6-7,vol_target,0.9836,0.8258,2,0.2857,-0.9163
1-4-5-6,sma_200,0.562,0.8644,6,0.8571,1.7918
1-4-5-7,vol_target,0.6753,1.1049,2,0.2857,-0.9163
1-4-6-7,sma_50,0.4185,1.4568,1,0.1429,-1.7918
1-5-6-7,vol_target,0.7563,1.0313,2,0.2857,-0.9163
2-3-4-5,sma_50,1.2934,0.706,1,0.1429,-1.7918
2-3-4-6,sma_50,1.2114,0.7972,3,0.4286,-0.2877
2-3-4-7,sma_50,1.2537,0.7536,1,0.1429,-1.7918
2-3-5-6,sma_50,1.4073,0.5859,1,0.1429,-1.7918
2-3-5-7,sma_50,1.4516,0.5447,1,0.1429,-1.7918
2-3-6-7,sma_50,1.3682,0.6342,2,0.2857,-0.9163
2-4-5-6,sma_50,0.9849,1.0516,3,0.4286,-0.2877
2-4-5-7,sma_50,1.0365,1.014,1,0.1429,-1.7918
2-4-6-7,sma_50,0.9356,1.0905,3,0.4286,-0.2877
2-5-6-7,sma_50,1.1771,0.9119,1,0.1429,-1.7918
3-4-5-6,sma_200,1.0406,0.375,6,0.8571,1.7918
3-4-5-7,sma_200,1.1191,0.2899,6,0.8571,1.7918
3-4-6-7,sma_50,0.9543,1.0707,2,0.2857,-0.9163
3-5-6-7,sma_50,1.1707,0.8788,2,0.2857,-0.9163
4-5-6-7,sma_50,0.6556,1.28,2,0.2857,-0.9163
