asset,train_start,train_end,test_start,test_end,sharpe_50,sharpe_100,sharpe_200,selected_n,test_sharpe,test_return_pct,test_sharpe_hold,test_return_hold_pct
BTCUSDT,2017-08-18,2019-08-17,2019-08-18,2020-02-15,1.404,1.004,0.599,50,1.169,16.3,0.18075599639316164,-3.047174927222329
BTCUSDT,2018-02-16,2020-02-15,2020-02-16,2020-08-15,0.639,0.98,0.3,100,0.609,9.3,0.9064563243213993,19.66416011760048
BTCUSDT,2018-08-17,2020-08-15,2020-08-16,2021-02-13,1.258,1.294,0.845,100,3.795,246.1,4.173474053455441,297.8408592352601
BTCUSDT,2019-02-15,2021-02-13,2021-02-14,2021-08-14,2.515,2.232,1.945,50,1.503,36.9,0.41194679234956477,-0.1806433388352624
BTCUSDT,2019-08-16,2021-08-14,2021-08-15,2022-02-12,2.244,1.617,0.997,50,0.119,-2.0,-0.013794502079312269,-10.30548874396061
BTCUSDT,2020-02-14,2022-02-12,2022-02-13,2022-08-13,1.985,1.489,0.876,50,-1.807,-25.7,-1.2020087074256163,-42.10655345710249
BTCUSDT,2020-08-14,2022-08-13,2022-08-14,2023-02-11,1.531,1.431,0.883,50,-0.397,-9.5,-0.1447644008810944,-10.551081812892749
BTCUSDT,2021-02-12,2023-02-11,2023-02-12,2023-08-12,0.052,0.244,-0.599,100,0.736,12.0,1.5266417473702827,34.61453490100672
BTCUSDT,2021-08-13,2023-08-12,2023-08-13,2024-02-10,-0.07,0.402,0.241,100,2.295,51.3,2.445463986067413,62.25217183590852
BTCUSDT,2022-02-11,2024-02-10,2024-02-11,2024-08-10,0.512,0.904,1.398,200,1.019,22.1,1.1306861171169116,27.585590192810393
BTCUSDT,2022-08-12,2024-08-10,2024-08-11,2025-02-08,1.233,0.987,1.401,200,1.763,35.8,2.2088903991240096,58.30463477892196
BTCUSDT,2023-02-10,2025-02-08,2025-02-09,2025-08-09,1.613,1.308,1.571,50,1.99,25.6,1.0776959781653885,20.755419113577478
BTCUSDT,2023-08-11,2025-08-09,2025-08-10,2026-02-07,1.755,1.453,1.2,50,-1.213,-12.5,-1.9664384037144715,-40.50485887057823
BTCUSDT,2024-02-09,2026-02-07,2026-02-08,2026-08-01,1.058,0.859,0.629,50,-0.494,-6.1,-0.32717029883474114,-9.331502172482919
ETHUSDT,2017-08-18,2019-08-17,2019-08-18,2020-02-15,0.979,0.989,-0.277,100,2.69,52.0,1.3410826669225766,42.723207069346444
ETHUSDT,2018-02-16,2020-02-15,2020-02-16,2020-08-15,0.699,0.902,0.076,100,0.209,-14.9,1.4981248430208873,63.2135306553913
ETHUSDT,2018-08-17,2020-08-15,2020-08-16,2021-02-13,1.063,0.971,0.553,50,3.021,241.3,3.3524184684908267,319.818652849741
ETHUSDT,2019-02-15,2021-02-13,2021-02-14,2021-08-14,2.079,1.734,1.487,50,1.325,44.6,1.6017269286243254,79.79239211883453
ETHUSDT,2019-08-16,2021-08-14,2021-08-15,2022-02-12,1.835,1.421,1.562,50,-0.388,-18.1,0.13182277241350676,-10.550509322252132
ETHUSDT,2020-02-14,2022-02-12,2022-02-13,2022-08-13,1.575,1.155,1.353,50,0.919,16.4,-0.3709081345545815,-32.044140218165865
ETHUSDT,2020-08-14,2022-08-13,2022-08-14,2023-02-11,1.438,1.235,1.491,200,0.803,8.6,-0.30017619653157446,-22.436540545990947
ETHUSDT,2021-02-12,2023-02-11,2023-02-12,2023-08-12,0.376,0.066,0.668,200,1.026,20.2,1.02594122591354,20.241662387634783
ETHUSDT,2021-08-13,2023-08-12,2023-08-13,2024-02-10,-0.049,-0.122,0.535,200,1.285,25.7,1.5034974359981534,35.153222013805994
ETHUSDT,2022-02-11,2024-02-10,2024-02-11,2024-08-10,0.423,0.075,0.849,200,0.916,20.7,0.46146591797111136,4.386778869228447
ETHUSDT,2022-08-12,2024-08-10,2024-08-11,2025-02-08,0.404,0.199,0.977,200,0.091,-3.3,0.3406235493610082,0.8636280039233446
ETHUSDT,2023-02-10,2025-02-08,2025-02-09,2025-08-09,0.665,0.484,0.812,200,3.284,62.1,1.5906938089780687,61.84937282997629
ETHUSDT,2023-08-11,2025-08-09,2025-08-10,2026-02-07,1.516,1.2,1.158,50,-0.315,-10.1,-1.561743929573,-51.01464106162952
ETHUSDT,2024-02-09,2026-02-07,2026-02-08,2026-08-01,1.078,0.669,0.563,50,0.088,-1.2,-0.19715235019785468,-11.601855223565959
BNBUSDT,2017-11-07,2019-11-06,2019-11-07,2020-05-06,1.29,1.001,0.875,50,0.761,14.0,0.1855066947543221,-20.897101449275326
BNBUSDT,2018-05-08,2020-05-06,2020-05-07,2020-11-04,1.183,1.074,0.61,50,0.945,22.2,1.7117992968618572,64.64825977293688
BNBUSDT,2018-11-06,2020-11-04,2020-11-05,2021-05-05,1.771,1.315,1.068,50,4.187,1726.1,4.524193535127068,2315.059347181007
BNBUSDT,2019-05-07,2021-05-05,2021-05-06,2021-11-03,2.216,2.104,2.043,50,0.726,13.4,0.40445704585890624,-12.701581938258444
BNBUSDT,2019-11-05,2021-11-03,2021-11-04,2022-05-04,2.136,1.757,1.698,50,-0.455,-13.4,-0.6222097057782212,-29.169598874032353
BNBUSDT,2020-05-05,2022-05-04,2022-05-05,2022-11-02,1.986,1.626,1.677,50,0.508,5.8,-0.27295814548012826,-20.46696472925975
BNBUSDT,2020-11-03,2022-11-02,2022-11-03,2023-05-03,1.974,1.433,1.612,50,-0.473,-15.4,0.36787009399380916,1.7801374141162896
BNBUSDT,2021-05-04,2023-05-03,2023-05-04,2023-11-01,0.058,-0.899,-0.409,50,-0.812,-4.4,-1.763837347559536,-30.070573795642918
BNBUSDT,2021-11-02,2023-11-01,2023-11-02,2024-05-01,-0.189,-0.804,-0.642,50,2.79,120.3,3.115058270669849,146.51162790697657
BNBUSDT,2022-05-03,2024-05-01,2024-05-02,2024-10-30,0.948,0.795,0.609,50,-0.707,-12.9,0.4828721894620929,6.01637593449631
BNBUSDT,2022-11-01,2024-10-30,2024-10-31,2025-04-30,0.704,0.965,0.302,100,0.178,-0.2,0.2922307357033082,0.7186030893218565
BNBUSDT,2023-05-02,2025-04-30,2025-05-01,2025-10-29,0.761,1.236,0.259,100,2.229,68.8,2.53953460628142,84.653597386144
BNBUSDT,2023-10-31,2025-10-29,2025-10-30,2026-04-29,1.342,1.706,0.9,100,-2.553,-18.5,-2.140986686884617,-44.26378983479279
BNBUSDT,2024-04-30,2026-04-29,2026-04-30,2026-08-01,0.272,0.547,-0.309,100,-0.693,-6.4,-0.46729101025266395,-6.84494403861412
XRPUSDT,2018-05-05,2020-05-03,2020-05-04,2020-11-01,0.201,-0.567,-0.321,50,-0.054,-6.0,0.5992088039479875,9.404631655725737
XRPUSDT,2018-11-03,2020-11-01,2020-11-02,2021-05-02,-0.113,-0.831,-0.04,200,1.982,173.3,2.760004220130091,550.2354264761026
XRPUSDT,2019-05-04,2021-05-02,2021-05-03,2021-10-31,1.356,0.662,0.899,50,0.177,-14.0,0.17221660960677324,-28.689522588913952
XRPUSDT,2019-11-02,2021-10-31,2021-11-01,2022-05-01,1.182,0.357,0.606,50,-1.519,-33.4,-1.079497860399805,-45.452911574406855
XRPUSDT,2020-05-02,2022-05-01,2022-05-02,2022-10-30,0.955,0.428,0.508,50,0.283,0.7,-0.24497669949079626,-24.514003294892895
XRPUSDT,2020-10-31,2022-10-30,2022-10-31,2023-04-30,0.985,0.573,0.373,50,-0.635,-16.1,0.45485882082032164,2.684417285028551
XRPUSDT,2021-05-01,2023-04-30,2023-05-01,2023-10-29,-0.278,-0.777,-1.007,50,-1.858,-31.5,0.7197674434480313,18.19341126461218
XRPUSDT,2021-10-30,2023-10-29,2023-10-30,2024-04-28,-0.8,-1.004,-0.418,200,-0.181,-12.0,0.05680228889524903,-8.235928789785763
XRPUSDT,2022-04-30,2024-04-28,2024-04-29,2024-10-27,-0.391,-0.726,-0.265,200,-1.51,-27.2,0.3396925104203016,1.2737605330198853
XRPUSDT,2022-10-29,2024-10-27,2024-10-28,2025-04-27,-0.826,-1.167,-0.371,200,2.703,262.6,2.98190034910611,335.7585139318881
XRPUSDT,2023-04-29,2025-04-27,2025-04-28,2025-10-26,0.633,0.37,0.827,200,0.135,-4.8,0.8164824214075773,17.50000000000029
XRPUSDT,2023-10-28,2025-10-26,2025-10-27,2026-04-26,0.959,0.784,0.903,50,-1.208,-15.7,-1.3892696290691788,-45.93174861116359
XRPUSDT,2024-04-27,2026-04-26,2026-04-27,2026-08-01,0.855,0.842,0.978,200,,0.0,-2.4541785138165286,-25.882435171594263
LTCUSDT,2017-12-14,2019-12-13,2019-12-14,2020-06-12,0.463,1.068,0.661,100,-0.943,-28.5,0.6008577049060655,0.6300630063006629
LTCUSDT,2018-06-14,2020-06-12,2020-06-13,2020-12-11,0.98,0.745,0.337,50,1.131,33.5,1.5461083365069617,61.449016100179186
LTCUSDT,2018-12-13,2020-12-11,2020-12-12,2021-06-11,1.281,0.746,0.362,50,1.628,82.6,1.881155862586093,125.52631578947393
LTCUSDT,2019-06-13,2021-06-11,2021-06-12,2021-12-10,0.873,0.636,0.265,50,0.761,15.5,0.3061870972298557,-8.923417060738082
LTCUSDT,2019-12-12,2021-12-10,2021-12-11,2022-06-10,1.108,0.733,0.319,50,-1.943,-23.8,-1.7782428435082127,-61.76668914362781
LTCUSDT,2020-06-11,2022-06-10,2022-06-11,2022-12-09,0.84,0.777,0.509,50,-0.021,-9.7,1.1068803204347035,34.585537918871225
LTCUSDT,2020-12-10,2022-12-09,2022-12-10,2023-06-09,0.602,0.509,0.477,50,-0.52,-16.8,0.8117181100097183,17.02267068536234
LTCUSDT,2021-06-10,2023-06-09,2023-06-10,2023-12-08,-0.08,-0.486,-0.261,50,-1.33,-27.7,-0.04794433729863572,-12.094064949608052
