slippage_pct,cost_per_side_pct,strategy,sharpe,CAGR_pct,max_drawdown_pct,total_return_pct
0.0,0.1,buy_hold,0.6722,22.3887,-93.9655,510.2797
0.0,0.1,sma_trend_50,1.0143,53.0918,-64.4242,4427.2419
0.0,0.1,sma_trend_100,0.7948,34.2481,-74.529,1296.7946
0.0,0.1,sma_trend_200,0.7287,28.3293,-73.6554,832.8606
0.0,0.1,vol_target_trend,0.9034,34.9833,-58.7408,1366.7869
0.0,0.1,rebalance_50_50_band,0.6922,23.0817,-71.2314,541.9198
0.0,0.1,walkforward_overlay,1.0067,49.9972,-64.3613,1576.8961
0.05,0.15,buy_hold,0.6721,22.3817,-93.9655,509.9659
0.05,0.15,sma_trend_50,0.9979,51.6164,-64.712,4051.2578
0.05,0.15,sma_trend_100,0.7842,33.3684,-74.9696,1216.9526
0.05,0.15,sma_trend_200,0.7235,27.9432,-73.8278,808.0321
0.05,0.15,vol_target_trend,0.8883,34.0905,-59.1981,1282.1858
0.05,0.15,rebalance_50_50_band,0.6912,23.0312,-71.2497,539.5669
0.05,0.15,walkforward_overlay,0.9963,49.1149,-64.4684,1509.496
0.1,0.2,buy_hold,0.6721,22.3747,-93.9655,509.6521
0.1,0.2,sma_trend_50,0.9815,50.1545,-64.9977,3706.3333
0.1,0.2,sma_trend_100,0.7735,32.494,-75.4029,1141.638
0.1,0.2,sma_trend_200,0.7183,27.5581,-73.9991,783.8524
0.1,0.2,vol_target_trend,0.8732,33.2034,-59.6506,1202.4354
0.1,0.2,rebalance_50_50_band,0.6902,22.9807,-71.268,537.2226
0.1,0.2,walkforward_overlay,0.986,48.2374,-64.5753,1444.7732
0.2,0.3,buy_hold,0.6719,22.3606,-93.9655,509.0244
0.2,0.3,sma_trend_50,0.9488,47.2706,-65.5625,3099.6633
0.2,0.3,sma_trend_100,0.7521,30.7611,-76.2476,1003.5863
0.2,0.3,sma_trend_200,0.7078,26.7907,-74.3388,737.3737
0.2,0.3,vol_target_trend,0.8429,31.4456,-60.541,1056.3961
0.2,0.3,rebalance_50_50_band,0.6882,22.8799,-71.3046,532.5595
0.2,0.3,walkforward_overlay,0.9652,46.4966,-64.7881,1322.9432
