train_start,train_end,test_start,test_end,sharpe_50,sharpe_100,sharpe_200,selected_n,test_sharpe,test_return_pct
2017-08-18,2019-08-17,2019-08-18,2020-02-15,0.979,0.989,-0.277,100,2.69,52.0
2018-02-16,2020-02-15,2020-02-16,2020-08-15,0.699,0.902,0.076,100,0.209,-14.9
2018-08-17,2020-08-15,2020-08-16,2021-02-13,1.063,0.971,0.553,50,3.021,241.3
2019-02-15,2021-02-13,2021-02-14,2021-08-14,2.079,1.734,1.487,50,1.325,44.6
2019-08-16,2021-08-14,2021-08-15,2022-02-12,1.835,1.421,1.562,50,-0.388,-18.1
2020-02-14,2022-02-12,2022-02-13,2022-08-13,1.575,1.155,1.353,50,0.919,16.4
2020-08-14,2022-08-13,2022-08-14,2023-02-11,1.438,1.235,1.491,200,0.803,8.6
2021-02-12,2023-02-11,2023-02-12,2023-08-12,0.376,0.066,0.668,200,1.026,20.2
2021-08-13,2023-08-12,2023-08-13,2024-02-10,-0.049,-0.122,0.535,200,1.285,25.7
2022-02-11,2024-02-10,2024-02-11,2024-08-10,0.423,0.075,0.849,200,0.916,20.7
2022-08-12,2024-08-10,2024-08-11,2025-02-08,0.404,0.199,0.977,200,0.091,-3.3
2023-02-10,2025-02-08,2025-02-09,2025-08-09,0.665,0.484,0.812,200,3.284,62.1
2023-08-11,2025-08-09,2025-08-10,2026-02-07,1.516,1.2,1.158,50,-0.315,-10.1
2024-02-09,2026-02-07,2026-02-08,2026-08-01,1.078,0.669,0.563,50,0.088,-1.2
