train_start,train_end,test_start,test_end,sharpe_50,sharpe_100,sharpe_200,selected_n,test_sharpe,test_return_pct
2014-09-18,2016-09-16,2016-09-17,2017-03-17,0.962,0.391,0.985,200,2.481,81.3
2015-03-19,2017-03-17,2017-03-18,2017-09-15,1.502,1.095,1.491,50,2.531,116.6
2015-09-17,2017-09-15,2017-09-16,2018-03-16,2.03,1.822,2.329,200,1.39,60.1
2016-03-17,2018-03-16,2018-03-17,2018-09-14,2.255,2.139,2.017,50,-1.055,-19.3
2016-09-15,2018-09-14,2018-09-15,2019-03-15,1.838,1.823,1.833,50,-0.675,-8.2
2017-03-16,2019-03-15,2019-03-16,2019-09-13,1.39,1.376,1.41,200,2.365,112.1
2017-09-14,2019-09-13,2019-09-14,2020-03-13,1.272,1.404,1.171,100,-0.16,-4.7
2018-03-15,2020-03-13,2020-03-14,2020-09-11,0.798,0.803,0.567,100,0.8,13.7
2018-09-13,2020-09-11,2020-09-12,2021-03-12,1.305,1.222,0.73,50,4.875,424.7
2019-03-14,2021-03-12,2021-03-13,2021-09-10,2.619,2.43,2.097,50,0.557,7.8
2019-09-12,2021-09-10,2021-09-11,2022-03-11,2.275,1.674,0.96,50,-0.704,-16.6
2020-03-12,2022-03-11,2022-03-12,2022-09-09,1.98,1.739,1.114,50,-1.635,-21.3
2020-09-10,2022-09-09,2022-09-10,2023-03-10,1.554,1.613,1.019,100,0.102,-1.0
2021-03-11,2023-03-10,2023-03-11,2023-09-08,-0.118,-0.106,-0.972,100,0.638,9.1
2021-09-09,2023-09-08,2023-09-09,2024-03-08,-0.142,0.2,0.17,100,4.111,139.2
2022-03-10,2024-03-08,2024-03-09,2024-09-06,1.271,1.385,1.861,200,-0.541,-16.6
2022-09-08,2024-09-06,2024-09-07,2025-03-07,1.323,0.957,1.375,200,1.183,24.7
2023-03-09,2025-03-07,2025-03-08,2025-09-05,1.596,1.244,1.438,50,1.503,19.6
2023-09-07,2025-09-05,2025-09-06,2026-03-06,1.659,1.431,1.261,50,-0.843,-8.1
2024-03-07,2026-03-06,2026-03-07,2026-08-01,0.501,0.315,0.132,50,-0.572,-6.5
