strategy,cash_apr_pct,staking_apr_pct,sharpe,CAGR_pct,max_drawdown_pct,total_return_pct
walkforward_overlay,0.0,0.0,1.0067,49.9972,-64.3613,1576.8961
buy_hold,0.0,0.0,0.8189,39.1327,-79.3025,894.0945
walkforward_overlay,2.0,0.0,1.0229,51.3939,-64.2762,1688.541
buy_hold,2.0,0.0,0.8189,39.1327,-79.3025,894.0945
walkforward_overlay,4.0,0.0,1.0389,52.7761,-64.1924,1805.2328
buy_hold,4.0,0.0,0.8189,39.1327,-79.3025,894.0945
walkforward_overlay,8.0,0.0,1.0699,55.4988,-64.0291,2054.2558
buy_hold,8.0,0.0,0.8189,39.1327,-79.3025,894.0945
buy_hold_staked,0.0,0.0,0.6722,22.3887,-93.9655,510.2797
buy_hold_staked,0.0,3.5,0.7119,26.6789,-93.7694,730.7845
